VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
VCF1030b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1031b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1032  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984); short'}
VCF1033a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF1033b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF1034b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1035b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1036b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1037b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1038  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984); short'}
VCF1039a  {8888.0: '8888. DK (mention 1 only)', 8889.0: '8889. RF; NA (mention 1 only)'}
VCF1039b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)', 88.0: '88. DK (mention 1 only)', 89.0: '89. RF; NA (mention 1 only)'}
VCF1040b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1041b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1042b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
VCF1043b  {11.0: '11. People within party (0001-0097)', 12.0: '12. Party characteristics (0101-0197)', 21.0: '21. Candidate experience, ability (0201-0297)', 22.0: '22. Candidate leadership qualities (0301-0397)', 23.0: '23. Candidate personal qualities (0401-0498)', 24.0: '24. Candidate party connections (0500-0597)', 31.0: '31. Government management (0601-0697)', 32.0: '32. Government activity/philosophy (0801-0897)', 33.0: '33. Domestic policies (0901-1097)', 34.0: '34. Foreign policies (1101-1199,1300-1310)', 35.0: '35. Group connections (1201-1299)', 40.0: '40. Miscellaneous (0701-0797,8877)', 50.0: '50. Events unique to one campaign (5001-5004)'}
length_residence_community  {0.0: '0. 1 Year or less (2002,2004: less than 1 year)', 1.0: '1. 13-23 Mos. (1988-1992 only) (2002,2004: 12-18 months)', 2.0: '2. 2 Years (1994-later: includes 13-23 months)', 3.0: '3. 3 Years', 89.0: '89. 89 Years or more', 90.0: "90. 'All of life' (regardless of number of years)", 99.0: '99. DK; NA; Panel (2002)'}
length_residence_home  {0.0: '0. Panel (2002)', 1.0: '1. 4 years or less', 2.0: '2. 5-9 years', 3.0: '3. 10-19 years', 4.0: '4. 20-29 years', 5.0: '5. 30 or more years (2004: includes 76 years or more)', 6.0: "6. 'All of life' (regardless of number of years)", 9.0: '9. DK; NA'}
thermometer_evangelical  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1980 and later)", 99.0: '99. NA; no Post IW; abbrev. telephone IW (1984)'}
thermometer_elderly  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1980 and later)", 99.0: '99. NA; no Post IW; abbrev. telephone IW (1984)'}
thermometer_supremeCourt  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1980 and later)", 99.0: '99. NA; no Post IW; abbrev. telephone IW (1984)'}
thermometer_women  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1984,1988,2004)", 99.0: '99. NA; no Post IW; abbrev. telephone IW (1984)'}
thermometer_JesseJackson  {97.0: '97. 97-100 Degrees', 98.0: "98. DK; don't recognize (1984,1986,1988,1990,1992,1996)", 99.0: '99. NA'}
party_preference_environment  {1.0: '1. Better by Democrats', 3.0: '3. Same by both', 5.0: '5. Better by Republicans', 8.0: '8. DK', 9.0: '9. NA'}
approve_president_economy  {1.0: '1. Approve strongly', 2.0: '2. Approve not strongly', 4.0: '4. Disapprove not strongly', 5.0: '5. Disapprove strongly', 8.0: '8. DK if approve/disapprove strongly or not strongly;', 9.0: '9. NA if approve/disapprove strongly or not strongly'}
VCF9010  {1.0: '1. Better by Democrats', 3.0: '3. Same by both', 5.0: '5. Better by Republicans', 8.0: '8. DK', 9.0: '9. NA'}
VCF9011  {1.0: '1. Better by Democrats', 3.0: '3. Same by both', 5.0: '5. Better by Republicans', 8.0: '8. DK', 9.0: '9. NA'}
party_handle_problem  {0.0: '0. R has not identified any problem', 1.0: '1. Democrats', 3.0: '3. Not much difference', 5.0: '5. Republicans', 8.0: '8. DK; other (1972 only); neither', 9.0: '9. NA; no Post IW; form I, II, IV (1972); short'}
equality1  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form B (1990)'}
equality2  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form B (1990)'}
equality3  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form B (1990)'}
equality4  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form B (1990)'}
equality5  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form B (1990)'}
equality6  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form B (1990)'}
VCF9019  {1.0: '1. Maintaining order in the nation', 2.0: '2. Giving the people more say in important political', 3.0: '3. Fighting rising prices', 4.0: '4. Protecting freedom of speech', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9020  {1.0: '1. Maintaining order in the nation', 2.0: '2. Giving the people more say in important political', 3.0: '3. Fighting rising prices', 4.0: '4. Protecting freedom of speech', 8.0: '8. DK 2nd choice', 9.0: '9. NA 2nd choice; no Post IW; NA or DK 1st choice'}
VCF9021  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF9022  {0.0: '0. R did not vote or DK/NA/refused to say if voted; R', 1.0: '1. Strong', 5.0: '5. Not strong', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF9023  {0.0: '0. R voted or DK/NA/refused to say if voted (for', 1.0: '1. Preference: Democrat', 2.0: '2. Preference: Republican', 3.0: '3. Preference: Other', 7.0: '7. No preference (1968 and later)', 9.0: '9. DK; NA; refused; no Post IW'}
VCF9024  {0.0: '0. R did not vote or DK/NA/refused to say if voted; R', 1.0: '1. Strong', 5.0: '5. Not strong', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984);'}
VCF9025  {0.0: '0. No gubernatorial race in state (includes Washington', 1.0: '1. Democrat', 2.0: '2. Republican', 3.0: '3. Other', 9.0: '9. DK; NA; did not vote; DK/NA/refused to say if'}
VCF9026  {1.0: '1. Voted: Democratic Pres. Primary (1988: or caucus)', 2.0: '2. Voted: Republican Pres. Primary (1988: or caucus)', 3.0: '3. Voted: DK/NA/Refused which Pres. Primary (1988: or', 5.0: "5. Voted: 'Other' (minor party) Pres. Primary (1972,1976)", 7.0: '7. Did not vote in Pres. Primary (1988: or caucus)', 9.0: '9. DK/NA/refused to say if voted in primary/caucus;'}
VCF9027  {0.0: '0. R did not vote in previous election; R has never voted', 1.0: '1. Voted: Democratic Pres. Candidate', 2.0: '2. Voted: Republican Pres. Candidate', 3.0: '3. Voted: DK/NA/Refused which Pres. Candidate', 5.0: '5. Voted: Other candidate', 9.0: '9. DK/NA/refused to say if voted in previous presidential'}
VCF9028  {1.0: '1. Democratic Pres. candidate', 2.0: '2. Republican Pres. candidate', 3.0: '3. Other Pres. candidate', 8.0: '8. DK', 9.0: '9. NA; no Pre IW; Washington D.C.'}
VCF9029  {1.0: '1. Close race', 3.0: '3. Win by quite a bit', 8.0: '8. DK; depends', 9.0: "9. NA; NA who R thinks will carry R's state (9 in"}
VCF9030  {1.0: '1. Yes, contact: Democratic party', 2.0: '2. Yes, contact: Republican party', 3.0: '3. Yes, contact: both major parties', 4.0: '4. Yes, contact: other', 5.0: '5. Yes, contact: DK which party', 6.0: '6. Yes, contact: NA which party', 7.0: '7. No contact', 8.0: '8. DK if contact', 9.0: '9. NA if contact; no Post IW; form II,III,IV'}
VCF9030a  {1.0: '1. Yes, contact by major party', 2.0: '2. No contact by major party', 8.0: '8. DK if contact; contact but DK/NA which party', 9.0: '9. NA if contact; no Post IW; form II,III,IV'}
VCF9030b  {1.0: '1. Yes, contact by Democratic party', 2.0: '2. No contact by Democratic party', 8.0: '8. DK if contact; contact but DK/NA which party', 9.0: '9. NA if contact; no Post IW; form II,III,IV'}
VCF9030c  {1.0: '1. Yes, contact by Republican party', 2.0: '2. No contact by Republican party', 8.0: '8. DK if contact; contact but DK/NA which party', 9.0: '9. NA if contact; no Post IW; form II,III,IV'}
VCF9031  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK/RF', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984);'}
VCF9032  {0.0: "0. None ('No')", 1.0: '1. Good many', 3.0: '3. Several', 5.0: '5. One or two', 8.0: '8. DK how many', 9.0: '9. NA how many; DK/NA whether listened to any; no'}
VCF9033  {0.0: '0. None', 1.0: '1. One day', 7.0: '7. Every day', 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); short form or Spanish'}
VCF9034  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9035  {0.0: '0. None', 1.0: '1. One day', 7.0: '7. Every day', 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); short form or Spanish'}
VCF9036  {1.0: '1. Republicans - correct', 2.0: '2. Democrats - correct', 4.0: '4. Republicans - incorrect', 5.0: '5. Democrats - incorrect', 7.0: '7. Other (comments)', 8.0: '8. DK (No)', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF9037  {0.0: "0. NA opinion; DK/NA whether 'interested enough;'", 1.0: '1. See to it that black people get fair treatment in', 5.0: "5. 1992 and later: Not the federal government's", 9.0: '9. Other; depends; DK; no interest'}
VCF9038  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9039  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form A (1986); form B (1990)'}
VCF9040  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form A (1986); form B (1990)'}
VCF9041  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form A (1986); form B (1990)'}
VCF9042  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; no Post IW; form A (1986); form B (1990)'}
VCF9043  {0.0: '0. NA; no Post IW; form A (1990); short form IW', 1.0: '1. By law, prayer should not be allowed in public', 2.0: '2. The law should allow public schools to schedule time', 3.0: '3. The law should allow public schools to schedule time', 4.0: '4. By law, public schools should schedule a time when', 9.0: '9. Other, DK'}
VCF9043a  {1.0: '1. Strongly', 5.0: '5. Not strongly', 8.0: '8. DK', 9.0: '9. NA; other/DK/NA opinion (except 1990,1996);'}
VCF9044  {1.0: '1. Much better', 2.0: '2. Somewhat better', 3.0: "3. Same ('haven't made much difference')", 4.0: '4. Somewhat worse', 5.0: '5. Much worse', 6.0: '6. Better, DK/NA how much', 7.0: '7. Worse, DK/NA how much', 8.0: '8. DK if better/worse/same', 9.0: '9. NA if better/worse/same'}
VCF9044a  {1.0: '1. Better', 2.0: "2. Same ('haven't made much difference')", 3.0: '3. Worse', 8.0: '8. DK', 9.0: '9. NA'}
VCF9045  {1.0: '1. Weaker (1958,1960,1964,1968: less strong)', 3.0: '3. Same', 5.0: '5. Stronger', 8.0: '8. DK', 9.0: '9. NA'}
VCF9046  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased', 7.0: '7. Cut out entirely (volunteered)', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF9047  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased', 7.0: '7. Cut out entirely (volunteered)', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF9048  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased', 7.0: '7. Cut out entirely (volunteered)', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF9049  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased', 7.0: '7. Cut out entirely (volunteered)', 8.0: '8. DK', 9.0: '9. NA; no Post IW (1984); abbrev. telephone IW'}
VCF9050  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased', 7.0: '7. Cut out entirely (volunteered)', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF9051  {1.0: '1. Schools should be allowed to start with prayer', 5.0: '5. Religion does not belong in the school', 8.0: '8. Other; depends; both (1964-1968); DK; no interest', 9.0: '9. NA opinion; DK/NA if interested; no Post IW;'}
VCF9052  {1.0: '1. Very well', 2.0: '2. Fairly well', 4.0: '4. Not too well', 5.0: '5. Not well at all', 8.0: '8. DK', 9.0: '9. NA; Form B (1986)'}
VCF9053  {1.0: '1. Gone up a lot', 2.0: '2. Gone up a little', 3.0: '3. Same', 4.0: '4. Fallen behind a little', 5.0: '5. Fallen behind a lot', 6.0: '6. Gone up, DK/NA how much', 7.0: '7. Fallen behind, DK/NA how much', 8.0: '8. DK if gone up/fallen behind/stayed same', 9.0: '9. NA if gone up/fallen behind/stayed same; Form B'}
VCF9054  {1.0: '1. U.S. Senate race in state', 2.0: '2. No U.S. Senate race in state', 9.0: '9. no Post IW; Washington D.C.'}
VCF9055  {0.0: '00. Washington D.C.; no Post IW', 12.0: '12. DEMOCRATIC INCUMBENT- REPUBLICAN CHALLENGER', 13.0: '13. DEMOCRATIC INCUMBENT- OTHER CHALLENGER', 14.0: '14. DEMOCRATIC INCUMBENT- UNOPPOSED', 19.0: '19. DEMOCRATIC INCUMBENT- REPUBLICAN AND OTHER', 21.0: '21. REPUBLICAN INCUMBENT- DEMOCRATIC CHALLENGER', 23.0: '23. REPUBLICAN INCUMBENT- OTHER CHALLENGER', 24.0: '24. REPUBLICAN INCUMBENT- UNOPPOSED', 29.0: '29. REPUBLICAN INCUMBENT- DEMOCRATIC AND OTHER', 32.0: '32. OTHER INCUMBENT- REPUBLICAN CHALLENGER', 51.0: '51. DEMOCRATIC CAND UNOPPOSED (Democratic incumbent not', 52.0: '52. REPUBLICAN CAND UNOPPOSED (Democratic incumbent not', 55.0: '55. DEMOCRATIC AND REPUBLICAN CANDS (Democratic', 59.0: '59. DEMOCRATIC AND REPUBLICAN AND OTHER CANDS (Democratic', 61.0: '61. DEMOCRATIC CAND UNOPPOSED (Republican incumbent not', 62.0: '62. REPUBLICAN CAND UNOPPOSED (Republican incumbent not', 65.0: '65. DEMOCRATIC AND REPUBLICAN CANDS (Republican', 69.0: '69. DEMOCRATIC AND REPUBLICAN AND OTHER CANDS (Republican', 75.0: '75. DEMOCRATIC AND REPUBLICAN CANDS (other incumbent not', 81.0: '81. 2 DEMOCRATIC INCUMBENTS: NO RACE IN STATE', 82.0: '82. 2 REPUBLICAN INCUMBENTS: NO RACE IN STATE', 83.0: '83. 1 DEMOCRATIC AND 1 OTHER INCUMBENT: NO RACE IN STATE', 84.0: '84. 1 REPUBLICAN AND 1 OTHER INCUMBENT: NO RACE IN STATE', 85.0: '85. 1 DEMOCRATIC AND 1 REPUBLICAN INCUMBENT: NO RACE IN', 95.0: '95. 2 Senate elections in state [regular Senate election'}
VCF9056  {990.0: '990. No Democratic candidate', 996.0: '996. No race in state; Washington D.C.', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW'}
VCF9057  {990.0: '990. No Republican candidate', 996.0: '996. No race in state; Washington D.C.', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW'}
VCF9058  {990.0: '990. No incumbent candidate', 996.0: '996. No race in state; Washington D.C.', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW'}
VCF9059  {990.0: '990. No incumbent candidate; incumbent candidate is', 996.0: '996. No race in state; Washington D.C.', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW'}
VCF9060  {996.0: '996. No race in state; Washington D.C.; 2 senate', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW'}
VCF9061  {996.0: '996. Race in state; Washington D.C.; 2 Senate', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW'}
VCF9062  {996.0: '996. Race in state; Washington D.C.; 2 Senate', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW'}
VCF9063  {0.0: '0. No Senate race in state', 1.0: '1. Yes', 5.0: '5. No; DK', 9.0: '9. NA; no Post IW; Washington D.C.'}
VCF9064  {0.0: '0. No Senate race in state', 1.0: '1. NAME: valid, PARTY: correct', 2.0: '2. NAME: valid, PARTY: incorrect', 3.0: '3. NAME: valid, PARTY: DK/NA', 4.0: '4. NAME: invalid, PARTY: any', 5.0: '5. NAME: invalid, PARTY: DK/NA', 6.0: '6. NAME: DK/NA, PARTY: any', 7.0: '7. NAME: DK, PARTY: DK/NA;', 9.0: '9. Abbrev. telephone IW (1984); no Post IW;'}
VCF9065  {0.0: '0. No Senate race in state', 1.0: '1. NAME: valid, PARTY: correct', 2.0: '2. NAME: valid, PARTY: incorrect', 3.0: '3. NAME: valid, PARTY: DK/NA', 4.0: '4. NAME: invalid, PARTY: any', 5.0: '5. NAME: invalid, PARTY: DK/NA', 6.0: '6. NAME: DK/NA, PARTY: any', 7.0: '7. NAME: DK, PARTY: DK/NA;', 9.0: '9. Abbrev. telephone IW (1984); no Post IW;'}
VCF9066  {0.0: '0. No Senate race in state', 1.0: '1. NAME: valid, PARTY: correct', 2.0: '2. NAME: valid, PARTY: incorrect', 3.0: '3. NAME: valid, PARTY: DK/NA', 4.0: '4. NAME: invalid, PARTY: any', 5.0: '5. NAME: invalid, PARTY: DK/NA', 6.0: '6. NAME: DK/NA, PARTY: any', 7.0: '7. NAME: DK, PARTY: DK/NA;', 9.0: '9. Abbrev. telephone IW (1984); no Post IW;'}
VCF9067  {0.0: "00. R's recall of any name(s) incorrect/DK/NA and any", 10.0: "10. R's recall correct for one name; party mention", 11.0: "11. R's recall correct for one name; party mention correct", 20.0: "20. R's recall correct for 2 names; both party mentions", 21.0: "21. R's recall correct for 2 names; one party mention", 22.0: "22. R's recall correct for 2 names; both party mentions", 30.0: "30. R's recall correct for 3 names; all party mentions", 31.0: "31. R's recall correct for 3 names; one party mention", 32.0: "32. R's recall correct for 3 names; two party mentions", 33.0: "33. R's recall correct for 3 names; three party mentions", 97.0: '97. No Senate race in state', 99.0: '99. Abbrev. telephone IW (1984); no Post IW;'}
VCF9069  {0.0: '0. No running incumbent (includes Washington D.C.)', 1.0: '1. Approve strongly', 2.0: '2. Approve not strongly', 4.0: '4. Disapprove not strongly', 5.0: '5. Disapprove strongly', 8.0: '8. DK strongly or not strongly; DK if approve/', 9.0: '9. NA strongly or not strongly; NA if approve/'}
VCF9070  {0.0: '0. No running incumbent (includes Washington D.C.)', 1.0: '1. Agreed', 3.0: '3. Agreed and disagreed about equally (1982: Agree', 5.0: '5. Disagreed', 8.0: "8. Haven't paid much attention (1986,1988); haven't", 9.0: '9. NA; no Post IW'}
VCF9071  {0.0: '0. No running incumbent (includes Washington D.C.);', 1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9072  {0.0: '0. No running incumbent (includes Washington D.C.); R', 1.0: '1. Agreed', 5.0: '5. Disagreed', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
